Actors
"Vittorio Gassman, Ann-Margret, Eleanor Parker"
"Sidney Poitier, Judy Geeson, Christian Roberts"
"Audrey Hepburn, Alan Arkin, Richard Crenna"
"Rod Taylor, Yvette Mimieux, Peter Carsten"
"Barbra Streisand, Omar Sharif, Kay Medford"
Larry Storch
"Christopher George, Tippi Hedren, Dean Jagger"
"Dean Jones, Michele Lee, David Tomlinson"
"Jonathan Frid, Grayson Hall, Kathryn Leigh Scott"
"Ann-Sofie Kylin, Rolf Sohlman, Anita Lindblom"
"Ali MacGraw, Ryan O'Neal, John Marley"
"John Byner, Marvin Miller"
N/A
"Alan Bates, Oliver Reed, Glenda Jackson"
"Tony Kendall, Brad Harris, Gisela Hahn"
"David Selby, Grayson Hall, Kate Jackson"
"Bernard Verley, Zouzou, Françoise Verley"
"Skip Hinnant, Rosetta LeNoire, John McCurry"
"Sandra Peabody, Lucy Grantham, David Hess"
"Dan O'Bannon, Dre Pahich, Brian Narelle"
"Howard Vernon, Doris Thomas, Anne Libert"
"Kim Darby, Jim Hutton, Barbara Anderson"
"Julie Christie, Donald Sutherland, Hilary Mason"
"Jimmy Wang Yu, Kawai Okada, Yôko Minakaze"
"Jack Lemmon, Jack Gilford, Laurie Heineman"
"Don Wong, Chuck Norris, Sylvia Chang"
"Charlton Heston, Edward G. Robinson, Leigh Taylor-Young"
"Jimmy Wang Yu, Ching-Ching Chang, Fei Lung"
"Vic Perrin, Randi Kiger, Kazuko Sugiyama"
"Melissa Gilbert, Michael Landon, Karen Grassle"
"Christopher Lee, Joan Collins, Herbert Lom"
"Meiko Kaji, Jûzô Itami, Kazuko Yoshiyuki"
"Don Johnson, Jason Robards, Susanne Benton"
"Al Pacino, John Cazale, Penelope Allen"
"Romy Schneider, Fabio Testi, Jacques Dutronc"
"Woody Allen, Diane Keaton, Georges Adet"
"David Niven, Toshirô Mifune, Hardy Krüger"
"David Hemmings, Daria Nicolodi, Gabriele Lavia"
"Bruce Li, Yi Chang, Kang Chin"
"Jimmy Wang Yu, Chiao Chiao, Yeh Tien"
"Jodie Foster, Martin Sheen, Alexis Smith"
"Gavin MacLeod, Bernie Kopell, Ted Lange"
"Richard Dreyfuss, Marsha Mason, Quinn Cummings"
"Kimiko Ikegami, Miki Jinbo, Kumiko Ôba"
"Lung Ti, Feng Ku, Lily Li"
"Patrick Wayne, Jane Seymour, Taryn Power"
"Kabir Bedi, Philippe Leroy, Massimo Foschi"
"Siu-Lung Leung, Yasuaki Kurata, Wan-Si Wong"
"Bette Davis, David Ackroyd, Rosanna Arquette"
"Bruce Le, Richard Harrison, Jeong-lee Hwang"
"Meg Lam, Jason Piao Pai, Yuet-Sang Chin"
"John Belushi, Karen Allen, Tom Hulce"
"Ljubisa Samardzic, Slavko Stimac, Vera Cukic"
"Jean-Pierre Léaud, Claude Jade, Marie-France Pisier"
"William Devane, Cathy Lee Crosby, Richard Jaeckel"
"Jeong-lee Hwang, Yuen-Man Meng, Hoi Mang"
"George Hamilton, Susan Saint James, Richard Benjamin"
"Jim Henson, Frank Oz, Jerry Nelson"
"Bruce Li, Paul L. Smith, Yi Chang"
"Charles Durning, Robert F. Lyons, Claude Earl Jones"
"Brooke Shields, Martin Hewitt, Shirley Knight"
"Harry Belafonte, Caitlyn Jenner, Dennis Haysbert"
"John Gordon Sinclair, Dee Hepburn, Jake D'Arcy"
"Adriano Celentano, Ornella Muti, Adolfo Celi"
"Jack Palance, Donald Pleasence, Martin Landau"
"Nastassja Kinski, Malcolm McDowell, John Heard"
"Jim Henson, Kathryn Mullen, Frank Oz"
"Lung Ti, Ping Wang, Feng Ku"
"Andrea Occhipinti, Anny Papa, Fabiola Toledo"
"Cristina Sánchez Pascual, Will More, Laura Cepeda"
"Meg Tilly, Melissa Newman, Robin Evans"
"Lindsay Barr, Dave Bokas, Chris Bremer"
"Dan Aykroyd, Albert Brooks, Vic Morrow"
"Nicolas Cage, Deborah Foreman, Elizabeth Daily"
"Kyle MacLachlan, Virginia Madsen, Francesca Annis"
"Robert De Niro, Meryl Streep, Harvey Keitel"
"Reinhold Messner, Hans Kammerlander, Werner Herzog"
"Gena Rowlands, John Cassavetes, Diahnne Abbott"
"Aleksandr Mikhaylov, Nina Doroshina, Lyudmila Gurchenko"
"Patrick Swayze, C. Thomas Howell, Lea Thompson"
"Art Metrano, William Berger, Eddie Constantine"
"Teddy Robin Kwan, Bin Bin, Yin-Tze Pan"
"Anton Glanzelius, Tomas von Brömssen, Anki Lidén"
"Arnold Schwarzenegger, Brigitte Nielsen, Sandahl Bergman"
"Kirstie Alley, David Carradine, Philip Casnoff"
"Gary Busey, Yaphet Kotto, Seymour Cassel"
"William Katt, Kay Lenz, George Wendt"
"Grant Navin, Gordon Poole, Caz Lederman"
"Orson Welles, Robert Stack, Leonard Nimoy"
"Bob Saget, John Stamos, Dave Coulier"
"Patrick Dempsey, Amanda Peterson, Courtney Gains"
"John Jarratt, Nikki Coghill, Max Phipps"
"Michael Moriarty, Jenny Agutter, Carol Lynley"
"Stéphane Ferrara, Beate Jensen, Yves Beneyton"
"Adrian Pasdar, Jenny Wright, Lance Henriksen"
"Madonna, Griffin Dunne, Haviland Morris"
"Chris Barrie, Craig Charles, Danny John-Jules"
"Meryl Streep, Sam Neill, Dale Reeves"
"Cassandra Peterson, Phil Rubenstein, Larry Flash Jenkins"
"Grazyna Szapolowska, Olaf Lubaszenko, Stefania Iwinska"
"Chow Yun-Fat, Nina Li Chi, Conan Lee"
"Cameron Dye, Lynn Danielson-Rosenthal, Karen Lorre"
"Arnold Schwarzenegger, Jim Belushi, Peter Boyle"
"Jacky Cheung, Carol 'Do Do' Cheng, Simon Yam"
"Patrick Swayze, Piper Laurie, Lee Richardson"
"Melanie Griffith, Harrison Ford, Sigourney Weaver"
"John Travolta, Kirstie Alley, Olympia Dukakis"
"Joe Balogh, Josie Bissett, Jason Saucier"
"Patrick Swayze, Kelly Lynch, Sam Elliott"
"Al Pacino, Ellen Barkin, John Goodman"
"Natja Brunckhorst, Martina Gedeck, Sabine Kaack"
"Kati Outinen, Elina Salo, Esko Nikkari"
"Jason Patric, Rachel Ward, Bruce Dern"
"Ben Cross, Barbara Blackburn, Jim Fyfe"
"Robert Sampson, Will Bledsoe, Joe Turkel"
"Alan Young, Christopher Lloyd, Terence McGovern"
"David Carradine, Rick Hill, Luke Askew"
"Sean Connery, Alec Baldwin, Scott Glenn"
"Dolph Lundgren, Brian Benben, Betsy Brantley"
"Kevin Kline, Tracey Ullman, William Hurt"
"Danny Lee, Conan Lee, Ellen Chan"
"Sammo Kam-Bo Hung, Karl Maka, Ming Yan Lung"
"Donnie Yen, Rosamund Kwan, David Wu"
"Hector Elizondo, Frank Welker, George Newbern"
"James Fox, Fanny Ardant, Paul McGann"
"Judd Nelson, Bill Paxton, Wayne Newton"
"Lance Baker, Betty C. Barlow, Gary Basaraba"
"Kathy Bates, Jessica Tandy, Mary Stuart Masterson"
"Sharla Cheung, Kwok Leung Cheung, Michael Wong"
"Tate Donovan, Sandra Bullock, Mary Mara"
"Anna Chlumsky, Macaulay Culkin, Dan Aykroyd"
"Daniel Giménez Cacho, Claudia Ramírez, Luis de Icaza"
"Martin Lawrence, John Witherspoon, Phyllis Yvonne Stickney"
"Ross Hull, Daniel DeSanto, Raine Pare-Coull"
"Benoît Poelvoorde, Jacqueline Poelvoorde-Pappaert, Nelly Pappaert"
"Stephen Rea, Jaye Davidson, Forest Whitaker"
"Ed Begley Jr., Mimi Rogers, Ari Meyers"
"Meryl Streep, Bruce Willis, Goldie Hawn"
"Darío Grandinetti, Sandra Ballesteros, Nacha Guevara"
"Michelle Pfeiffer, Dennis Haysbert, Stephanie McFadden"
"Cynthia Rothrock, Nick Dibley, Fern Figueiredo"
"Annabella Sciorra, Jamey Sheridan, Alan Alda"
"Kara Ying Hung Wai, Chunzhong Zhang, Alexander Rei Lo"
"Conan O'Brien, The Max Weinberg 7, Andy Richter"
"David Letterman, Paul Shaffer, Alan Kalter"
"Timothy Hutton, Amy Madigan, Michael Rooker"
"Michael J. Fox, Gabrielle Anwar, Anthony Higgins"
"John Travolta, Kirstie Alley, David Gallagher"
"Robert De Niro, Uma Thurman, Bill Murray"
"River Phoenix, Samantha Mathis, Dermot Mulroney"
"Angela Bassett, Laurence Fishburne, RaéVen Kelly"
"Gary Graham, Eric Pierpoint, Michele Scarabelli"
"Virginia Madsen, Tôru Nakamura, Dean Hallo"
"Constantin Draganescu, Angela Featherstone, Cristina Stoica, Valentin Teodesiu"
"Louise Salter, Venera Simmons, Mariya Kapnist"
"Stephen McHattie, Scott Wickware, Brion James"
"Stephen Chow, Anita Yuen, Kar-Ying Law"
"David Hayter, Kathy Christopherson, Bruno Patrick"
"Nick Nolte, Julia Roberts, Saul Rubinek"
"Warren Beatty, Annette Bening, Katharine Hepburn"
"Gil Bellows, Renée Zellweger, Rory Cochrane"
"Dan Aykroyd, Jamie Lee Curtis, Anna Chlumsky"
"Stephen Chow, Christy Chung, Man-Tat Ng"
"Robert Carradine, Curtis Armstrong, Julia Montgomery"
"Irène Jacob, Jean-Louis Trintignant, Frédérique Feder"
"Simon Yam, Ching-Wan Lau, Yeung-Ming Wan"
"Mark Hamill, Malcolm McDowell, John Rhys-Davies, Jason Bernard"
"Shelley Long, Gary Cole, Christine Taylor"
"Matthew Modine, Randy Quaid, Paul Reiser"
"Bill Farmer, Jason Marsden, Jim Cummings"
"Stephen Chow, Karen Mok, Yat-Fei Wong"
"Laurel Holloman, Nicole Ari Parker, Maggie Moore"
"Miho Nakayama, Etsushi Toyokawa, Bunjaku Han"
"Chris O'Donnell, Drew Barrymore, Matthew Lillard"
"Parker Posey, Omar Townsend, The Lady Bunny"
"William Katt, Justin Chapman, Sherman Howard"
"Lori Petty, Ice-T, Naomi Watts"
"Steven Seagal, Eric Bogosian, Everett McGill"
"Eric Close, J.T. Walsh, Lackos"
"Paul Mercurio, Harley Jane Kozak, Michael York"
"Woody Allen, Goldie Hawn, Julia Roberts"
"Theresa Randle, Isaiah Washington, Spike Lee"
"Sandra Bullock, Chris O'Donnell, Mackenzie Astin"
"Naveen Andrews, Sarita Choudhury, Indira Varma"
"Martin Lawrence, Lynn Whitfield, Regina King"
"Maggie Cheung, Leon Lai, Eric Tsang"
"Ted Jan Roberts, Carol Potter, Jennifer Lyons"
"Mig Macario, Kelly Benson, Frank Cassini"
"Jan Anderson, Rakie Ayola, Suzanne Packer"
"Meg Ryan, Matthew Broderick, Kelly Preston"
"Tony Leung Chiu-wai, Maggie Cheung, Ping-Lam Siu"
"Bajram Severdzan, Srdjan 'Zika' Todorovic, Branka Katic"
"Rufus Sewell, Kiefer Sutherland, Jennifer Connelly"
"Guy Boyd, Brad Pitt, Cheryl Pollak"
"Michael Douglas, Deborah Kara Unger, Sean Penn"
"Larenz Tate, Nia Long, Isaiah Washington"
"John Hurt, Jason Priestley, Fiona Loewi"
"Derek Jacobi, Daniel Craig, Tilda Swinton"
"Tom Hanks, Michael Clarke Duncan, David Morse"
"Jim Caviezel, Sean Penn, Nick Nolte"
